Iter=1, Average Loss=7.445857, Time Elapsed=00:03
Iter=2, Average Loss=7.578713, Time Elapsed=00:05
Iter=3, Average Loss=7.740943, Time Elapsed=00:07
Iter=4, Average Loss=7.546132, Time Elapsed=00:09
Iter=5, Average Loss=7.644964, Time Elapsed=00:12
Iter=6, Average Loss=7.593879, Time Elapsed=00:14
Iter=7, Average Loss=7.522732, Time Elapsed=00:16
Iter=8, Average Loss=7.636140, Time Elapsed=00:18
Iter=9, Average Loss=7.559816, Time Elapsed=00:20
Iter=10, Average Loss=7.640418, Time Elapsed=00:22
Iter=11, Average Loss=7.581271, Time Elapsed=00:25
Iter=12, Average Loss=7.696618, Time Elapsed=00:27
Iter=13, Average Loss=7.403949, Time Elapsed=00:29
Iter=14, Average Loss=7.526846, Time Elapsed=00:31
Iter=15, Average Loss=7.512146, Time Elapsed=00:33
Iter=16, Average Loss=7.647196, Time Elapsed=00:35
Iter=17, Average Loss=7.575278, Time Elapsed=00:37
Iter=18, Average Loss=7.440756, Time Elapsed=00:39
Iter=19, Average Loss=7.563013, Time Elapsed=00:40
Iter=20, Average Loss=7.479416, Time Elapsed=00:41
Iter=21, Average Loss=7.540948, Time Elapsed=00:42
Iter=22, Average Loss=7.481012, Time Elapsed=00:43
Iter=23, Average Loss=7.426189, Time Elapsed=00:43
Iter=24, Average Loss=7.532131, Time Elapsed=00:45
Iter=25, Average Loss=7.515706, Time Elapsed=00:47
Iter=26, Average Loss=7.374940, Time Elapsed=00:49
Iter=27, Average Loss=7.401578, Time Elapsed=00:50
Iter=28, Average Loss=7.370170, Time Elapsed=00:51
Iter=29, Average Loss=7.362694, Time Elapsed=00:52
Iter=30, Average Loss=7.410111, Time Elapsed=00:53
Iter=31, Average Loss=7.323429, Time Elapsed=00:54
Iter=32, Average Loss=7.186649, Time Elapsed=00:54
Iter=33, Average Loss=7.173105, Time Elapsed=00:55
Iter=34, Average Loss=7.158468, Time Elapsed=00:56
Iter=35, Average Loss=7.135757, Time Elapsed=00:57
Iter=36, Average Loss=7.133729, Time Elapsed=00:58
Iter=37, Average Loss=7.220546, Time Elapsed=00:59
Iter=38, Average Loss=7.029695, Time Elapsed=01:00
Iter=39, Average Loss=7.116911, Time Elapsed=01:01
Iter=40, Average Loss=6.970806, Time Elapsed=01:01
Iter=41, Average Loss=6.897853, Time Elapsed=01:02
Iter=42, Average Loss=7.007322, Time Elapsed=01:03
Iter=43, Average Loss=7.177534, Time Elapsed=01:04
Iter=44, Average Loss=7.109570, Time Elapsed=01:05
Iter=45, Average Loss=6.680597, Time Elapsed=01:06
Iter=46, Average Loss=6.930835, Time Elapsed=01:07
Iter=47, Average Loss=6.915187, Time Elapsed=01:07
Iter=48, Average Loss=6.795733, Time Elapsed=01:08
Iter=49, Average Loss=6.699942, Time Elapsed=01:09
Iter=50, Average Loss=7.150995, Time Elapsed=01:10
Iter=51, Average Loss=6.957695, Time Elapsed=01:11
Iter=52, Average Loss=6.986213, Time Elapsed=01:12
Iter=53, Average Loss=7.058775, Time Elapsed=01:13
Iter=54, Average Loss=6.955675, Time Elapsed=01:14
Iter=55, Average Loss=7.035602, Time Elapsed=01:15
Iter=56, Average Loss=6.650936, Time Elapsed=01:16
Iter=57, Average Loss=6.736675, Time Elapsed=01:17
Iter=58, Average Loss=6.666052, Time Elapsed=01:17
Iter=59, Average Loss=6.583385, Time Elapsed=01:18
Iter=60, Average Loss=6.797365, Time Elapsed=01:19
Iter=61, Average Loss=6.918023, Time Elapsed=01:20
Iter=62, Average Loss=6.885359, Time Elapsed=01:21
Iter=63, Average Loss=6.922719, Time Elapsed=01:22
Iter=64, Average Loss=6.612151, Time Elapsed=01:23
Iter=65, Average Loss=6.710851, Time Elapsed=01:24
Iter=66, Average Loss=6.730395, Time Elapsed=01:24
Iter=67, Average Loss=6.716057, Time Elapsed=01:25
Iter=68, Average Loss=6.675337, Time Elapsed=01:26
Iter=69, Average Loss=6.561990, Time Elapsed=01:27
Iter=70, Average Loss=6.529837, Time Elapsed=01:28
Iter=71, Average Loss=6.630038, Time Elapsed=01:29
Iter=72, Average Loss=6.643514, Time Elapsed=01:30
Iter=73, Average Loss=6.650301, Time Elapsed=01:30
Iter=74, Average Loss=6.682742, Time Elapsed=01:31
Iter=75, Average Loss=6.515904, Time Elapsed=01:32
Iter=76, Average Loss=6.723109, Time Elapsed=01:33
Iter=77, Average Loss=6.881321, Time Elapsed=01:34
Iter=78, Average Loss=6.818634, Time Elapsed=01:35
Iter=79, Average Loss=6.649182, Time Elapsed=01:36
Iter=80, Average Loss=6.503874, Time Elapsed=01:37
Iter=81, Average Loss=6.507150, Time Elapsed=01:37
Iter=82, Average Loss=6.834085, Time Elapsed=01:38
Iter=83, Average Loss=6.579452, Time Elapsed=01:39
Iter=84, Average Loss=6.552525, Time Elapsed=01:40
Iter=85, Average Loss=6.602973, Time Elapsed=01:41
Iter=86, Average Loss=6.698281, Time Elapsed=01:42
Iter=87, Average Loss=6.999823, Time Elapsed=01:43
Iter=88, Average Loss=6.399270, Time Elapsed=01:43
Iter=89, Average Loss=7.008669, Time Elapsed=01:44
Iter=90, Average Loss=7.206445, Time Elapsed=01:45
Iter=91, Average Loss=6.868010, Time Elapsed=01:46
Iter=92, Average Loss=6.549232, Time Elapsed=01:47
Iter=93, Average Loss=6.998877, Time Elapsed=01:48
Iter=94, Average Loss=6.904505, Time Elapsed=01:49
Iter=95, Average Loss=6.607286, Time Elapsed=01:49
Iter=96, Average Loss=6.597941, Time Elapsed=01:50
Iter=97, Average Loss=6.770430, Time Elapsed=01:51
Iter=98, Average Loss=6.649481, Time Elapsed=01:52
Iter=99, Average Loss=6.540966, Time Elapsed=01:53
Iter=100, Average Loss=6.675572, Time Elapsed=01:54
Iter=101, Average Loss=6.451675, Time Elapsed=01:55
Iter=102, Average Loss=6.277850, Time Elapsed=01:55
Iter=103, Average Loss=6.426451, Time Elapsed=01:56
Iter=104, Average Loss=6.537633, Time Elapsed=01:57
Iter=105, Average Loss=6.896356, Time Elapsed=01:58
Iter=106, Average Loss=6.797350, Time Elapsed=01:59
Iter=107, Average Loss=6.476927, Time Elapsed=02:00
Iter=108, Average Loss=6.825150, Time Elapsed=02:01
Iter=109, Average Loss=6.796129, Time Elapsed=02:03
Iter=110, Average Loss=6.582334, Time Elapsed=02:04
Iter=111, Average Loss=6.665922, Time Elapsed=02:05
Iter=112, Average Loss=6.812966, Time Elapsed=02:06
Iter=113, Average Loss=6.405082, Time Elapsed=02:08
Iter=114, Average Loss=6.283160, Time Elapsed=02:09
Iter=115, Average Loss=6.768688, Time Elapsed=02:10
Iter=116, Average Loss=6.820278, Time Elapsed=02:11
Iter=117, Average Loss=7.117224, Time Elapsed=02:12
Iter=118, Average Loss=6.666378, Time Elapsed=02:14
Iter=119, Average Loss=6.675276, Time Elapsed=02:15
Iter=120, Average Loss=6.135376, Time Elapsed=02:17
Iter=121, Average Loss=6.596455, Time Elapsed=02:18
Iter=122, Average Loss=6.593856, Time Elapsed=02:19
Iter=123, Average Loss=6.390596, Time Elapsed=02:20
Iter=124, Average Loss=6.625839, Time Elapsed=02:21
Iter=125, Average Loss=6.414046, Time Elapsed=02:22
Iter=126, Average Loss=6.837555, Time Elapsed=02:23
