Iter=1, Average Loss=7.667387, Time Elapsed=00:02
Iter=2, Average Loss=7.674170, Time Elapsed=00:05
Iter=3, Average Loss=7.658558, Time Elapsed=00:07
Iter=4, Average Loss=7.465376, Time Elapsed=00:09
Iter=5, Average Loss=7.487087, Time Elapsed=00:10
Iter=6, Average Loss=7.450280, Time Elapsed=00:12
Iter=7, Average Loss=7.415052, Time Elapsed=00:14
Iter=8, Average Loss=7.321665, Time Elapsed=00:16
Iter=9, Average Loss=7.351953, Time Elapsed=00:19
Iter=10, Average Loss=7.172849, Time Elapsed=00:21
Iter=11, Average Loss=7.178179, Time Elapsed=00:23
Iter=12, Average Loss=7.142635, Time Elapsed=00:26
Iter=13, Average Loss=7.124270, Time Elapsed=00:28
Iter=14, Average Loss=7.026029, Time Elapsed=00:31
Iter=15, Average Loss=6.984770, Time Elapsed=00:33
Iter=16, Average Loss=6.910582, Time Elapsed=00:34
Iter=17, Average Loss=6.750347, Time Elapsed=00:37
Iter=18, Average Loss=6.784612, Time Elapsed=00:39
Iter=19, Average Loss=6.618685, Time Elapsed=00:41
Iter=20, Average Loss=6.636855, Time Elapsed=00:44
Iter=21, Average Loss=6.616972, Time Elapsed=00:45
Iter=22, Average Loss=6.510316, Time Elapsed=00:47
Iter=23, Average Loss=6.309084, Time Elapsed=00:48
Iter=24, Average Loss=6.238488, Time Elapsed=00:50
Iter=25, Average Loss=6.232429, Time Elapsed=00:51
Iter=26, Average Loss=6.309433, Time Elapsed=00:53
Iter=27, Average Loss=6.218413, Time Elapsed=00:54
Iter=28, Average Loss=6.225463, Time Elapsed=00:56
Iter=29, Average Loss=6.072422, Time Elapsed=00:57
Iter=30, Average Loss=6.095618, Time Elapsed=00:59
Iter=31, Average Loss=5.953541, Time Elapsed=01:00
Iter=32, Average Loss=5.947980, Time Elapsed=01:02
Iter=33, Average Loss=5.871065, Time Elapsed=01:03
Iter=34, Average Loss=5.927708, Time Elapsed=01:04
Iter=35, Average Loss=5.775947, Time Elapsed=01:06
Iter=36, Average Loss=5.726248, Time Elapsed=01:07
Iter=37, Average Loss=5.673927, Time Elapsed=01:09
Iter=38, Average Loss=5.607129, Time Elapsed=01:10
Iter=39, Average Loss=5.474199, Time Elapsed=01:12
Iter=40, Average Loss=5.665373, Time Elapsed=01:14
Iter=41, Average Loss=5.530217, Time Elapsed=01:15
Iter=42, Average Loss=5.706510, Time Elapsed=01:16
Iter=43, Average Loss=5.434599, Time Elapsed=01:18
Iter=44, Average Loss=5.388829, Time Elapsed=01:19
Iter=45, Average Loss=5.254399, Time Elapsed=01:21
Iter=46, Average Loss=5.352654, Time Elapsed=01:22
Iter=47, Average Loss=5.120115, Time Elapsed=01:24
Iter=48, Average Loss=5.175287, Time Elapsed=01:25
Iter=49, Average Loss=5.229599, Time Elapsed=01:27
Iter=50, Average Loss=4.874080, Time Elapsed=01:28
Iter=51, Average Loss=4.847663, Time Elapsed=01:30
Iter=52, Average Loss=5.055892, Time Elapsed=01:31
Iter=53, Average Loss=4.983094, Time Elapsed=01:33
Iter=54, Average Loss=5.092951, Time Elapsed=01:34
Iter=55, Average Loss=4.811696, Time Elapsed=01:36
Iter=56, Average Loss=5.226984, Time Elapsed=01:37
Iter=57, Average Loss=4.614639, Time Elapsed=01:39
Iter=58, Average Loss=4.491810, Time Elapsed=01:40
Iter=59, Average Loss=5.648725, Time Elapsed=01:41
Iter=60, Average Loss=4.489910, Time Elapsed=01:43
Iter=61, Average Loss=4.383268, Time Elapsed=01:44
Iter=62, Average Loss=4.797350, Time Elapsed=01:46
Iter=63, Average Loss=5.598519, Time Elapsed=01:47
Iter=64, Average Loss=6.748263, Time Elapsed=01:49
Iter=65, Average Loss=6.216530, Time Elapsed=01:50
Iter=66, Average Loss=5.549710, Time Elapsed=01:52
Iter=67, Average Loss=5.185350, Time Elapsed=01:53
Iter=68, Average Loss=4.530229, Time Elapsed=01:54
Iter=69, Average Loss=4.243394, Time Elapsed=01:56
Iter=70, Average Loss=4.664487, Time Elapsed=01:58
Iter=71, Average Loss=4.337236, Time Elapsed=02:00
Iter=72, Average Loss=4.769192, Time Elapsed=02:02
Iter=73, Average Loss=4.819759, Time Elapsed=02:04
Iter=74, Average Loss=5.027269, Time Elapsed=02:06
Iter=75, Average Loss=4.319563, Time Elapsed=02:07
Iter=76, Average Loss=4.395704, Time Elapsed=02:09
Iter=77, Average Loss=6.109957, Time Elapsed=02:10
Iter=78, Average Loss=4.924897, Time Elapsed=02:12
Iter=79, Average Loss=4.607788, Time Elapsed=02:13
Iter=80, Average Loss=4.333499, Time Elapsed=02:15
Iter=81, Average Loss=5.258159, Time Elapsed=02:16
Iter=82, Average Loss=4.471948, Time Elapsed=02:18
Iter=83, Average Loss=4.813105, Time Elapsed=02:19
Iter=84, Average Loss=5.395462, Time Elapsed=02:21
Iter=85, Average Loss=4.926683, Time Elapsed=02:22
Iter=86, Average Loss=4.256808, Time Elapsed=02:23
Iter=87, Average Loss=4.465951, Time Elapsed=02:25
Iter=88, Average Loss=5.051846, Time Elapsed=02:26
Iter=89, Average Loss=4.627907, Time Elapsed=02:28
Iter=90, Average Loss=4.462515, Time Elapsed=02:29
Iter=91, Average Loss=4.467407, Time Elapsed=02:31
Iter=92, Average Loss=4.232901, Time Elapsed=02:32
Iter=93, Average Loss=4.454973, Time Elapsed=02:34
Iter=94, Average Loss=4.562459, Time Elapsed=02:35
Iter=95, Average Loss=4.605071, Time Elapsed=02:37
Iter=96, Average Loss=4.897888, Time Elapsed=02:38
Iter=97, Average Loss=4.186680, Time Elapsed=02:40
Iter=98, Average Loss=4.149364, Time Elapsed=02:41
Iter=99, Average Loss=4.835808, Time Elapsed=02:43
Iter=100, Average Loss=5.244755, Time Elapsed=02:44
Iter=101, Average Loss=4.860794, Time Elapsed=02:46
Iter=102, Average Loss=4.065348, Time Elapsed=02:47
Iter=103, Average Loss=3.835326, Time Elapsed=02:48
Iter=104, Average Loss=4.642003, Time Elapsed=02:50
Iter=105, Average Loss=4.295733, Time Elapsed=02:51
Iter=106, Average Loss=4.040792, Time Elapsed=02:53
Iter=107, Average Loss=4.486738, Time Elapsed=02:55
Iter=108, Average Loss=4.296986, Time Elapsed=02:57
Iter=109, Average Loss=4.995446, Time Elapsed=02:59
Iter=110, Average Loss=4.649982, Time Elapsed=03:01
Iter=111, Average Loss=3.975804, Time Elapsed=03:03
Iter=112, Average Loss=3.789015, Time Elapsed=03:05
Iter=113, Average Loss=4.210560, Time Elapsed=03:06
Iter=114, Average Loss=4.303742, Time Elapsed=03:08
Iter=115, Average Loss=4.147958, Time Elapsed=03:09
Iter=116, Average Loss=4.604758, Time Elapsed=03:11
Iter=117, Average Loss=4.648772, Time Elapsed=03:12
Iter=118, Average Loss=4.260197, Time Elapsed=03:13
Iter=119, Average Loss=3.853471, Time Elapsed=03:15
Iter=120, Average Loss=3.663854, Time Elapsed=03:16
Iter=121, Average Loss=3.484885, Time Elapsed=03:18
Iter=122, Average Loss=3.692388, Time Elapsed=03:19
Iter=123, Average Loss=3.768827, Time Elapsed=03:21
Iter=124, Average Loss=4.013822, Time Elapsed=03:22
Iter=125, Average Loss=4.206311, Time Elapsed=03:23
Iter=126, Average Loss=4.276314, Time Elapsed=03:25
Iter=127, Average Loss=3.725161, Time Elapsed=03:26
Iter=128, Average Loss=3.526826, Time Elapsed=03:28
Iter=129, Average Loss=3.703790, Time Elapsed=03:30
Iter=130, Average Loss=3.540367, Time Elapsed=03:31
Iter=131, Average Loss=3.494141, Time Elapsed=03:33
Iter=132, Average Loss=3.792900, Time Elapsed=03:35
Iter=133, Average Loss=3.525723, Time Elapsed=03:36
Iter=134, Average Loss=3.137555, Time Elapsed=03:38
Iter=135, Average Loss=3.367337, Time Elapsed=03:39
Iter=136, Average Loss=3.247554, Time Elapsed=03:40
Iter=137, Average Loss=3.025054, Time Elapsed=03:42
Iter=138, Average Loss=3.139508, Time Elapsed=03:43
Iter=139, Average Loss=3.607222, Time Elapsed=03:45
Iter=140, Average Loss=3.192483, Time Elapsed=03:46
Iter=141, Average Loss=2.848063, Time Elapsed=03:48
Iter=142, Average Loss=2.928975, Time Elapsed=03:49
Iter=143, Average Loss=2.903092, Time Elapsed=03:50
Iter=144, Average Loss=3.411852, Time Elapsed=03:52
Iter=145, Average Loss=3.084851, Time Elapsed=03:53
Iter=146, Average Loss=2.925517, Time Elapsed=03:55
Iter=147, Average Loss=3.050097, Time Elapsed=03:56
Iter=148, Average Loss=3.184758, Time Elapsed=03:57
Iter=149, Average Loss=2.706502, Time Elapsed=03:59
Iter=150, Average Loss=2.786859, Time Elapsed=04:00
Iter=151, Average Loss=2.545875, Time Elapsed=04:02
Iter=152, Average Loss=2.498638, Time Elapsed=04:03
Iter=153, Average Loss=2.911031, Time Elapsed=04:05
Iter=154, Average Loss=2.766168, Time Elapsed=04:06
Iter=155, Average Loss=2.744386, Time Elapsed=04:07
Iter=156, Average Loss=2.643304, Time Elapsed=04:09
Iter=157, Average Loss=2.631469, Time Elapsed=04:10
Iter=158, Average Loss=2.607689, Time Elapsed=04:12
Iter=159, Average Loss=2.437672, Time Elapsed=04:13
Iter=160, Average Loss=2.517809, Time Elapsed=04:14
Iter=161, Average Loss=2.601982, Time Elapsed=04:16
Iter=162, Average Loss=2.308094, Time Elapsed=04:17
Iter=163, Average Loss=2.258013, Time Elapsed=04:19
Iter=164, Average Loss=2.391769, Time Elapsed=04:20
Iter=165, Average Loss=2.190312, Time Elapsed=04:22
Iter=166, Average Loss=2.114368, Time Elapsed=04:23
Iter=167, Average Loss=2.165072, Time Elapsed=04:24
Iter=168, Average Loss=1.964285, Time Elapsed=04:26
Iter=169, Average Loss=1.868638, Time Elapsed=04:27
Iter=170, Average Loss=2.009182, Time Elapsed=04:29
Iter=171, Average Loss=1.857634, Time Elapsed=04:30
Iter=172, Average Loss=1.726015, Time Elapsed=04:32
Iter=173, Average Loss=1.808026, Time Elapsed=04:33
Iter=174, Average Loss=2.128429, Time Elapsed=04:35
Iter=175, Average Loss=1.841681, Time Elapsed=04:36
Iter=176, Average Loss=2.244116, Time Elapsed=04:38
Iter=177, Average Loss=2.550406, Time Elapsed=04:39
Iter=178, Average Loss=2.711210, Time Elapsed=04:41
Iter=179, Average Loss=2.034739, Time Elapsed=04:42
Iter=180, Average Loss=1.933448, Time Elapsed=04:44
Iter=181, Average Loss=1.838548, Time Elapsed=04:45
Iter=182, Average Loss=1.641295, Time Elapsed=04:46
Iter=183, Average Loss=1.427007, Time Elapsed=04:48
Iter=184, Average Loss=1.768748, Time Elapsed=04:49
Iter=185, Average Loss=1.476795, Time Elapsed=04:51
Iter=186, Average Loss=1.716204, Time Elapsed=04:52
Iter=187, Average Loss=1.882663, Time Elapsed=04:54
Iter=188, Average Loss=1.745569, Time Elapsed=04:55
Iter=189, Average Loss=1.901405, Time Elapsed=04:57
Iter=190, Average Loss=1.526283, Time Elapsed=04:59
Iter=191, Average Loss=1.695423, Time Elapsed=05:00
Iter=192, Average Loss=1.597808, Time Elapsed=05:02
Iter=193, Average Loss=1.771345, Time Elapsed=05:03
Iter=194, Average Loss=2.021556, Time Elapsed=05:05
Iter=195, Average Loss=1.826439, Time Elapsed=05:06
Iter=196, Average Loss=1.282419, Time Elapsed=05:07
Iter=197, Average Loss=1.535804, Time Elapsed=05:09
Iter=198, Average Loss=1.475340, Time Elapsed=05:10
Iter=199, Average Loss=1.412359, Time Elapsed=05:12
Iter=200, Average Loss=1.059811, Time Elapsed=05:13
Iter=201, Average Loss=1.080919, Time Elapsed=05:15
