Training loss=1.975133
Validation loss=2.456184
Min Validation loss=2.501142
Iteration of min validation loss=6410

Iterations trained=6586
Duration=141:05

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=200

Iter=1, Training Loss=7.601424, Validation Loss=7.546439, Time Elapsed=00:02
Iter=2, Training Loss=7.623480, Validation Loss=7.546439, Time Elapsed=00:03
Iter=3, Training Loss=7.638173, Validation Loss=7.546439, Time Elapsed=00:04
Iter=4, Training Loss=7.578448, Validation Loss=7.546439, Time Elapsed=00:05
Iter=5, Training Loss=7.632719, Validation Loss=7.546439, Time Elapsed=00:06
Iter=6, Training Loss=7.497824, Validation Loss=7.546439, Time Elapsed=00:07
Iter=7, Training Loss=7.461841, Validation Loss=7.546439, Time Elapsed=00:08
Iter=8, Training Loss=7.457384, Validation Loss=7.546439, Time Elapsed=00:09
Iter=9, Training Loss=7.448276, Validation Loss=7.546439, Time Elapsed=00:10
Iter=10, Training Loss=7.559668, Validation Loss=7.546439, Time Elapsed=00:11
Iter=11, Training Loss=7.395314, Validation Loss=7.390491, Time Elapsed=00:13
Iter=12, Training Loss=7.484628, Validation Loss=7.390491, Time Elapsed=00:14
Iter=13, Training Loss=7.502063, Validation Loss=7.390491, Time Elapsed=00:15
Iter=14, Training Loss=7.455267, Validation Loss=7.390491, Time Elapsed=00:16
Iter=15, Training Loss=7.354241, Validation Loss=7.390491, Time Elapsed=00:17
Iter=16, Training Loss=7.536978, Validation Loss=7.390491, Time Elapsed=00:18
Iter=17, Training Loss=7.444183, Validation Loss=7.390491, Time Elapsed=00:19
Iter=18, Training Loss=7.441504, Validation Loss=7.390491, Time Elapsed=00:20
Iter=19, Training Loss=7.359993, Validation Loss=7.390491, Time Elapsed=00:21
Iter=20, Training Loss=7.244880, Validation Loss=7.390491, Time Elapsed=00:22
Iter=21, Training Loss=7.261439, Validation Loss=7.280492, Time Elapsed=00:24
Iter=22, Training Loss=7.282081, Validation Loss=7.280492, Time Elapsed=00:26
Iter=23, Training Loss=7.161846, Validation Loss=7.280492, Time Elapsed=00:27
Iter=24, Training Loss=7.273368, Validation Loss=7.280492, Time Elapsed=00:28
Iter=25, Training Loss=7.245111, Validation Loss=7.280492, Time Elapsed=00:29
Iter=26, Training Loss=7.167704, Validation Loss=7.280492, Time Elapsed=00:30
Iter=27, Training Loss=7.121077, Validation Loss=7.280492, Time Elapsed=00:31
Iter=28, Training Loss=7.168745, Validation Loss=7.280492, Time Elapsed=00:32
Iter=29, Training Loss=7.293736, Validation Loss=7.280492, Time Elapsed=00:33
Iter=30, Training Loss=7.188307, Validation Loss=7.280492, Time Elapsed=00:34
Iter=31, Training Loss=7.173542, Validation Loss=7.079164, Time Elapsed=00:36
Iter=32, Training Loss=7.174369, Validation Loss=7.079164, Time Elapsed=00:37
Iter=33, Training Loss=7.192060, Validation Loss=7.079164, Time Elapsed=00:38
Iter=34, Training Loss=7.098430, Validation Loss=7.079164, Time Elapsed=00:39
Iter=35, Training Loss=7.039329, Validation Loss=7.079164, Time Elapsed=00:40
Iter=36, Training Loss=6.982150, Validation Loss=7.079164, Time Elapsed=00:41
Iter=37, Training Loss=6.973098, Validation Loss=7.079164, Time Elapsed=00:42
Iter=38, Training Loss=6.961905, Validation Loss=7.079164, Time Elapsed=00:43
Iter=39, Training Loss=7.172603, Validation Loss=7.079164, Time Elapsed=00:44
Iter=40, Training Loss=6.792351, Validation Loss=7.079164, Time Elapsed=00:46
Iter=41, Training Loss=6.699590, Validation Loss=6.881168, Time Elapsed=00:48
Iter=42, Training Loss=6.833043, Validation Loss=6.881168, Time Elapsed=00:49
Iter=43, Training Loss=6.774886, Validation Loss=6.881168, Time Elapsed=00:50
Iter=44, Training Loss=6.732538, Validation Loss=6.881168, Time Elapsed=00:52
Iter=45, Training Loss=6.762911, Validation Loss=6.881168, Time Elapsed=00:53
