Training loss=2.142772
Validation loss=2.575057
Min Validation loss=2.581902
Iteration of min validation loss=7700

Iterations trained=8450
Duration=69:10

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=100

Iter=75, Training Loss=6.971935, Validation Loss=6.833560, Time Elapsed=00:42
Iter=76, Training Loss=6.581717, Validation Loss=6.833560, Time Elapsed=00:43
Iter=77, Training Loss=6.830627, Validation Loss=6.833560, Time Elapsed=00:43
Iter=78, Training Loss=6.819166, Validation Loss=6.833560, Time Elapsed=00:44
Iter=79, Training Loss=6.756906, Validation Loss=6.833560, Time Elapsed=00:44
Iter=80, Training Loss=6.811772, Validation Loss=6.833560, Time Elapsed=00:44
Iter=81, Training Loss=6.718333, Validation Loss=6.712381, Time Elapsed=00:46
Iter=82, Training Loss=6.528573, Validation Loss=6.712381, Time Elapsed=00:46
Iter=83, Training Loss=6.439069, Validation Loss=6.712381, Time Elapsed=00:46
Iter=84, Training Loss=6.706232, Validation Loss=6.712381, Time Elapsed=00:47
Iter=85, Training Loss=6.755924, Validation Loss=6.712381, Time Elapsed=00:47
Iter=86, Training Loss=6.531266, Validation Loss=6.712381, Time Elapsed=00:48
Iter=87, Training Loss=6.767476, Validation Loss=6.712381, Time Elapsed=00:48
Iter=88, Training Loss=6.687646, Validation Loss=6.712381, Time Elapsed=00:48
Iter=89, Training Loss=6.516891, Validation Loss=6.712381, Time Elapsed=00:49
Iter=90, Training Loss=6.665131, Validation Loss=6.712381, Time Elapsed=00:49
Iter=91, Training Loss=6.584588, Validation Loss=6.639433, Time Elapsed=00:50
Iter=92, Training Loss=6.492482, Validation Loss=6.639433, Time Elapsed=00:51
Iter=93, Training Loss=6.618557, Validation Loss=6.639433, Time Elapsed=00:51
Iter=94, Training Loss=6.566499, Validation Loss=6.639433, Time Elapsed=00:52
Iter=95, Training Loss=6.577939, Validation Loss=6.639433, Time Elapsed=00:52
Iter=96, Training Loss=6.590207, Validation Loss=6.639433, Time Elapsed=00:52
Iter=97, Training Loss=6.644697, Validation Loss=6.639433, Time Elapsed=00:53
Iter=98, Training Loss=6.725823, Validation Loss=6.639433, Time Elapsed=00:53
Iter=99, Training Loss=6.876737, Validation Loss=6.639433, Time Elapsed=00:54
Iter=100, Training Loss=6.606117, Validation Loss=6.639433, Time Elapsed=00:54
Iter=101, Training Loss=6.500165, Validation Loss=6.725418, Time Elapsed=00:55
Iter=102, Training Loss=6.661339, Validation Loss=6.725418, Time Elapsed=00:56
Iter=103, Training Loss=6.935778, Validation Loss=6.725418, Time Elapsed=00:56
Iter=104, Training Loss=6.629725, Validation Loss=6.725418, Time Elapsed=00:56
Iter=105, Training Loss=6.620127, Validation Loss=6.725418, Time Elapsed=00:57
Iter=106, Training Loss=6.575249, Validation Loss=6.725418, Time Elapsed=00:57
Iter=107, Training Loss=6.725116, Validation Loss=6.725418, Time Elapsed=00:58
Iter=108, Training Loss=6.671343, Validation Loss=6.725418, Time Elapsed=00:58
Iter=109, Training Loss=6.587365, Validation Loss=6.725418, Time Elapsed=00:59
Iter=110, Training Loss=6.842650, Validation Loss=6.725418, Time Elapsed=00:59
Iter=111, Training Loss=6.588357, Validation Loss=6.659435, Time Elapsed=01:00
Iter=112, Training Loss=6.542511, Validation Loss=6.659435, Time Elapsed=01:01
Iter=113, Training Loss=6.546718, Validation Loss=6.659435, Time Elapsed=01:01
Iter=114, Training Loss=6.622374, Validation Loss=6.659435, Time Elapsed=01:01
Iter=115, Training Loss=6.867664, Validation Loss=6.659435, Time Elapsed=01:02
Iter=116, Training Loss=6.674002, Validation Loss=6.659435, Time Elapsed=01:02
Iter=117, Training Loss=6.509911, Validation Loss=6.659435, Time Elapsed=01:03
Iter=118, Training Loss=6.752394, Validation Loss=6.659435, Time Elapsed=01:03
Iter=119, Training Loss=6.448672, Validation Loss=6.659435, Time Elapsed=01:03
Iter=120, Training Loss=6.724832, Validation Loss=6.659435, Time Elapsed=01:04
Iter=121, Training Loss=6.694332, Validation Loss=6.670472, Time Elapsed=01:05
Iter=122, Training Loss=6.459433, Validation Loss=6.670472, Time Elapsed=01:06
Iter=123, Training Loss=6.823449, Validation Loss=6.670472, Time Elapsed=01:06
Iter=124, Training Loss=6.612204, Validation Loss=6.670472, Time Elapsed=01:06
Iter=125, Training Loss=6.680084, Validation Loss=6.670472, Time Elapsed=01:07
Iter=126, Training Loss=6.778068, Validation Loss=6.670472, Time Elapsed=01:07
Iter=127, Training Loss=6.503187, Validation Loss=6.670472, Time Elapsed=01:08
Iter=128, Training Loss=6.701787, Validation Loss=6.670472, Time Elapsed=01:08
Iter=129, Training Loss=6.347111, Validation Loss=6.670472, Time Elapsed=01:09
Iter=130, Training Loss=6.727945, Validation Loss=6.670472, Time Elapsed=01:09
Iter=131, Training Loss=6.691995, Validation Loss=6.496374, Time Elapsed=01:10
Iter=132, Training Loss=6.357732, Validation Loss=6.496374, Time Elapsed=01:11
Iter=133, Training Loss=6.479730, Validation Loss=6.496374, Time Elapsed=01:11
Iter=134, Training Loss=6.560390, Validation Loss=6.496374, Time Elapsed=01:12
Iter=135, Training Loss=6.477537, Validation Loss=6.496374, Time Elapsed=01:12
Iter=136, Training Loss=6.680648, Validation Loss=6.496374, Time Elapsed=01:13
