Training loss=1.926606
Validation loss=1.899427
Min Validation loss=1.907104
Iteration of min validation loss=7480

Iterations trained=7719
Duration=91:56

Number of training examples=50796
Number of validation examples=100

Batch size=10
Learning rate=0.003000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=200

Iter=1, Training Loss=6.931068, Validation Loss=6.912923, Time Elapsed=00:03
Iter=2, Training Loss=6.857889, Validation Loss=6.912923, Time Elapsed=00:04
Iter=3, Training Loss=6.981856, Validation Loss=6.912923, Time Elapsed=00:04
Iter=4, Training Loss=6.812845, Validation Loss=6.912923, Time Elapsed=00:05
Iter=5, Training Loss=6.871151, Validation Loss=6.912923, Time Elapsed=00:06
Iter=6, Training Loss=6.807031, Validation Loss=6.912923, Time Elapsed=00:07
Iter=7, Training Loss=6.685030, Validation Loss=6.912923, Time Elapsed=00:08
Iter=8, Training Loss=6.810952, Validation Loss=6.912923, Time Elapsed=00:09
Iter=9, Training Loss=6.564329, Validation Loss=6.912923, Time Elapsed=00:09
Iter=10, Training Loss=6.603696, Validation Loss=6.912923, Time Elapsed=00:10
Iter=11, Training Loss=6.625535, Validation Loss=6.579159, Time Elapsed=00:11
Iter=12, Training Loss=6.650730, Validation Loss=6.579159, Time Elapsed=00:12
Iter=13, Training Loss=6.588584, Validation Loss=6.579159, Time Elapsed=00:13
Iter=14, Training Loss=6.494757, Validation Loss=6.579159, Time Elapsed=00:14
Iter=15, Training Loss=6.458949, Validation Loss=6.579159, Time Elapsed=00:14
Iter=16, Training Loss=6.366128, Validation Loss=6.579159, Time Elapsed=00:15
Iter=17, Training Loss=6.246591, Validation Loss=6.579159, Time Elapsed=00:15
Iter=18, Training Loss=6.349919, Validation Loss=6.579159, Time Elapsed=00:16
Iter=19, Training Loss=6.269631, Validation Loss=6.579159, Time Elapsed=00:17
Iter=20, Training Loss=6.100690, Validation Loss=6.579159, Time Elapsed=00:18
Iter=21, Training Loss=6.455189, Validation Loss=6.331319, Time Elapsed=00:20
Iter=22, Training Loss=6.344819, Validation Loss=6.331319, Time Elapsed=00:21
Iter=23, Training Loss=6.338660, Validation Loss=6.331319, Time Elapsed=00:22
Iter=24, Training Loss=6.139871, Validation Loss=6.331319, Time Elapsed=00:22
Iter=25, Training Loss=6.233433, Validation Loss=6.331319, Time Elapsed=00:23
Iter=26, Training Loss=6.265189, Validation Loss=6.331319, Time Elapsed=00:24
Iter=27, Training Loss=6.172108, Validation Loss=6.331319, Time Elapsed=00:25
Iter=28, Training Loss=6.082589, Validation Loss=6.331319, Time Elapsed=00:25
Iter=29, Training Loss=6.124475, Validation Loss=6.331319, Time Elapsed=00:26
Iter=30, Training Loss=6.084364, Validation Loss=6.331319, Time Elapsed=00:27
Iter=31, Training Loss=6.299449, Validation Loss=6.198721, Time Elapsed=00:28
Iter=32, Training Loss=6.063606, Validation Loss=6.198721, Time Elapsed=00:29
Iter=33, Training Loss=6.076148, Validation Loss=6.198721, Time Elapsed=00:29
Iter=34, Training Loss=6.302688, Validation Loss=6.198721, Time Elapsed=00:30
Iter=35, Training Loss=6.179180, Validation Loss=6.198721, Time Elapsed=00:31
Iter=36, Training Loss=6.123053, Validation Loss=6.198721, Time Elapsed=00:31
Iter=37, Training Loss=5.936732, Validation Loss=6.198721, Time Elapsed=00:32
Iter=38, Training Loss=5.859562, Validation Loss=6.198721, Time Elapsed=00:33
Iter=39, Training Loss=6.110339, Validation Loss=6.198721, Time Elapsed=00:33
Iter=40, Training Loss=5.929701, Validation Loss=6.198721, Time Elapsed=00:34
Iter=41, Training Loss=5.903296, Validation Loss=6.152156, Time Elapsed=00:36
Iter=42, Training Loss=5.763340, Validation Loss=6.152156, Time Elapsed=00:37
Iter=43, Training Loss=6.134789, Validation Loss=6.152156, Time Elapsed=00:38
Iter=44, Training Loss=6.256947, Validation Loss=6.152156, Time Elapsed=00:39
Iter=45, Training Loss=6.193627, Validation Loss=6.152156, Time Elapsed=00:40
Iter=46, Training Loss=6.075036, Validation Loss=6.152156, Time Elapsed=00:41
Iter=47, Training Loss=5.792112, Validation Loss=6.152156, Time Elapsed=00:42
Iter=48, Training Loss=5.890368, Validation Loss=6.152156, Time Elapsed=00:42
Iter=49, Training Loss=6.103880, Validation Loss=6.152156, Time Elapsed=00:43
Iter=50, Training Loss=6.007030, Validation Loss=6.152156, Time Elapsed=00:44
Iter=51, Training Loss=5.930612, Validation Loss=6.033994, Time Elapsed=00:46
Iter=52, Training Loss=5.860613, Validation Loss=6.033994, Time Elapsed=00:46
Iter=53, Training Loss=6.031614, Validation Loss=6.033994, Time Elapsed=00:47
Iter=54, Training Loss=5.867288, Validation Loss=6.033994, Time Elapsed=00:47
Iter=55, Training Loss=6.033983, Validation Loss=6.033994, Time Elapsed=00:48
Iter=56, Training Loss=5.970713, Validation Loss=6.033994, Time Elapsed=00:49
