Iter=1, Average Loss=7.637280, Time Elapsed=00:02
Iter=2, Average Loss=7.657857, Time Elapsed=00:03
Iter=3, Average Loss=7.601777, Time Elapsed=00:05
Iter=4, Average Loss=7.560769, Time Elapsed=00:06
Iter=5, Average Loss=7.832763, Time Elapsed=00:08
Iter=6, Average Loss=7.595132, Time Elapsed=00:09
Iter=7, Average Loss=7.518404, Time Elapsed=00:11
Iter=8, Average Loss=7.519219, Time Elapsed=00:13
Iter=9, Average Loss=7.714507, Time Elapsed=00:14
Iter=10, Average Loss=7.576698, Time Elapsed=00:16
Iter=11, Average Loss=7.618063, Time Elapsed=00:18
Iter=12, Average Loss=7.642826, Time Elapsed=00:19
Iter=13, Average Loss=7.521935, Time Elapsed=00:21
Iter=14, Average Loss=7.470384, Time Elapsed=00:23
Iter=15, Average Loss=7.519809, Time Elapsed=00:24
Iter=16, Average Loss=7.473502, Time Elapsed=00:26
Iter=17, Average Loss=7.588315, Time Elapsed=00:28
Iter=18, Average Loss=7.489133, Time Elapsed=00:29
Iter=19, Average Loss=7.375089, Time Elapsed=00:31
Iter=20, Average Loss=7.596655, Time Elapsed=00:32
Iter=21, Average Loss=7.550855, Time Elapsed=00:34
Iter=22, Average Loss=7.433679, Time Elapsed=00:36
Iter=23, Average Loss=7.411058, Time Elapsed=00:37
Iter=24, Average Loss=7.376848, Time Elapsed=00:39
Iter=25, Average Loss=7.346126, Time Elapsed=00:40
Iter=26, Average Loss=7.485845, Time Elapsed=00:42
Iter=27, Average Loss=7.214796, Time Elapsed=00:44
Iter=28, Average Loss=7.348371, Time Elapsed=00:45
Iter=29, Average Loss=7.285430, Time Elapsed=00:47
Iter=30, Average Loss=7.199399, Time Elapsed=00:49
Iter=31, Average Loss=7.241406, Time Elapsed=00:50
Iter=32, Average Loss=7.279152, Time Elapsed=00:52
Iter=33, Average Loss=7.196441, Time Elapsed=00:53
Iter=34, Average Loss=7.280156, Time Elapsed=00:55
Iter=35, Average Loss=7.092680, Time Elapsed=00:57
Iter=36, Average Loss=7.024970, Time Elapsed=00:58
Iter=37, Average Loss=6.937964, Time Elapsed=01:00
Iter=38, Average Loss=7.048912, Time Elapsed=01:01
Iter=39, Average Loss=7.264934, Time Elapsed=01:03
