Iter=111, Average Loss=4.303901, Time Elapsed=01:52
Iter=112, Average Loss=4.301733, Time Elapsed=01:54
Iter=113, Average Loss=3.995852, Time Elapsed=01:55
Iter=114, Average Loss=4.571892, Time Elapsed=01:56
Iter=115, Average Loss=4.056158, Time Elapsed=01:57
Iter=116, Average Loss=3.737707, Time Elapsed=01:59
Iter=117, Average Loss=3.919065, Time Elapsed=02:00
Iter=118, Average Loss=4.121128, Time Elapsed=02:01
Iter=119, Average Loss=4.354474, Time Elapsed=02:02
Iter=120, Average Loss=4.427422, Time Elapsed=02:03
Iter=121, Average Loss=4.165039, Time Elapsed=02:05
Iter=122, Average Loss=3.920258, Time Elapsed=02:06
Iter=123, Average Loss=4.362514, Time Elapsed=02:07
Iter=124, Average Loss=3.944386, Time Elapsed=02:08
Iter=125, Average Loss=4.186011, Time Elapsed=02:10
Iter=126, Average Loss=3.863907, Time Elapsed=02:11
Iter=127, Average Loss=3.249700, Time Elapsed=02:12
Iter=128, Average Loss=4.218686, Time Elapsed=02:13
Iter=129, Average Loss=4.143526, Time Elapsed=02:15
Iter=130, Average Loss=3.704463, Time Elapsed=02:16
Iter=131, Average Loss=3.622613, Time Elapsed=02:17
Iter=132, Average Loss=3.898891, Time Elapsed=02:18
Iter=133, Average Loss=3.647213, Time Elapsed=02:20
Iter=134, Average Loss=3.748748, Time Elapsed=02:21
Iter=135, Average Loss=3.418346, Time Elapsed=02:22
Iter=136, Average Loss=3.367676, Time Elapsed=02:24
Iter=137, Average Loss=2.914712, Time Elapsed=02:25
Iter=138, Average Loss=3.165928, Time Elapsed=02:26
Iter=139, Average Loss=3.209883, Time Elapsed=02:27
Iter=140, Average Loss=3.241004, Time Elapsed=02:29
Iter=141, Average Loss=3.215339, Time Elapsed=02:30
Iter=142, Average Loss=3.247721, Time Elapsed=02:31
Iter=143, Average Loss=3.384873, Time Elapsed=02:33
Iter=144, Average Loss=3.407382, Time Elapsed=02:34
Iter=145, Average Loss=2.941244, Time Elapsed=02:35
Iter=146, Average Loss=3.162299, Time Elapsed=02:36
Iter=147, Average Loss=3.372722, Time Elapsed=02:38
Iter=148, Average Loss=2.925118, Time Elapsed=02:39
Iter=149, Average Loss=2.873735, Time Elapsed=02:40
Iter=150, Average Loss=2.952770, Time Elapsed=02:41
Iter=151, Average Loss=2.737177, Time Elapsed=02:43
Iter=152, Average Loss=2.668505, Time Elapsed=02:44
Iter=153, Average Loss=2.607632, Time Elapsed=02:45
Iter=154, Average Loss=2.375630, Time Elapsed=02:46
Iter=155, Average Loss=2.485873, Time Elapsed=02:48
Iter=156, Average Loss=2.486630, Time Elapsed=02:49
Iter=157, Average Loss=2.578063, Time Elapsed=02:50
Iter=158, Average Loss=2.561536, Time Elapsed=02:51
Iter=159, Average Loss=2.579446, Time Elapsed=02:53
Iter=160, Average Loss=2.644711, Time Elapsed=02:54
Iter=161, Average Loss=2.424748, Time Elapsed=02:55
Iter=162, Average Loss=2.053151, Time Elapsed=02:56
Iter=163, Average Loss=2.139553, Time Elapsed=02:58
Iter=164, Average Loss=2.336399, Time Elapsed=02:59
Iter=165, Average Loss=2.732063, Time Elapsed=03:00
Iter=166, Average Loss=2.350670, Time Elapsed=03:02
Iter=167, Average Loss=2.023685, Time Elapsed=03:03
Iter=168, Average Loss=2.471210, Time Elapsed=03:04
Iter=169, Average Loss=2.471261, Time Elapsed=03:05
