Training loss=2.726014
Validation loss=3.488163
Min Validation loss=3.497496
Iteration of min validation loss=1730

Iterations trained=1833
Duration=15:36

Number of training examples=325
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=100

Iter=1, Training Loss=7.404365, Validation Loss=7.403488, Time Elapsed=00:02
Iter=2, Training Loss=7.617418, Validation Loss=7.403488, Time Elapsed=00:02
Iter=3, Training Loss=7.400949, Validation Loss=7.403488, Time Elapsed=00:03
Iter=4, Training Loss=7.441394, Validation Loss=7.403488, Time Elapsed=00:03
Iter=5, Training Loss=7.300147, Validation Loss=7.403488, Time Elapsed=00:03
Iter=6, Training Loss=7.394324, Validation Loss=7.403488, Time Elapsed=00:03
Iter=7, Training Loss=7.507189, Validation Loss=7.403488, Time Elapsed=00:04
Iter=8, Training Loss=7.494337, Validation Loss=7.403488, Time Elapsed=00:04
Iter=9, Training Loss=7.491995, Validation Loss=7.403488, Time Elapsed=00:04
Iter=10, Training Loss=7.407655, Validation Loss=7.403488, Time Elapsed=00:04
Iter=11, Training Loss=7.416601, Validation Loss=7.413745, Time Elapsed=00:05
Iter=12, Training Loss=7.333747, Validation Loss=7.413745, Time Elapsed=00:06
Iter=13, Training Loss=7.471266, Validation Loss=7.413745, Time Elapsed=00:06
Iter=14, Training Loss=7.429504, Validation Loss=7.413745, Time Elapsed=00:06
Iter=15, Training Loss=7.242863, Validation Loss=7.413745, Time Elapsed=00:06
Iter=16, Training Loss=7.381730, Validation Loss=7.413745, Time Elapsed=00:07
Iter=17, Training Loss=7.563712, Validation Loss=7.413745, Time Elapsed=00:07
Iter=18, Training Loss=7.307233, Validation Loss=7.413745, Time Elapsed=00:07
Iter=19, Training Loss=7.443566, Validation Loss=7.413745, Time Elapsed=00:07
Iter=20, Training Loss=7.414501, Validation Loss=7.413745, Time Elapsed=00:08
Iter=21, Training Loss=7.409752, Validation Loss=7.306812, Time Elapsed=00:08
Iter=22, Training Loss=7.378791, Validation Loss=7.306812, Time Elapsed=00:09
Iter=23, Training Loss=7.325895, Validation Loss=7.306812, Time Elapsed=00:09
Iter=24, Training Loss=7.274163, Validation Loss=7.306812, Time Elapsed=00:09
Iter=25, Training Loss=7.313272, Validation Loss=7.306812, Time Elapsed=00:09
Iter=26, Training Loss=7.447466, Validation Loss=7.306812, Time Elapsed=00:10
Iter=27, Training Loss=7.149880, Validation Loss=7.306812, Time Elapsed=00:10
Iter=28, Training Loss=7.298706, Validation Loss=7.306812, Time Elapsed=00:10
Iter=29, Training Loss=7.169446, Validation Loss=7.306812, Time Elapsed=00:10
Iter=30, Training Loss=7.309357, Validation Loss=7.306812, Time Elapsed=00:11
Iter=31, Training Loss=7.303339, Validation Loss=7.219665, Time Elapsed=00:11
Iter=32, Training Loss=7.388305, Validation Loss=7.219665, Time Elapsed=00:12
Iter=33, Training Loss=7.326526, Validation Loss=7.219665, Time Elapsed=00:12
Iter=34, Training Loss=7.288160, Validation Loss=7.219665, Time Elapsed=00:12
Iter=35, Training Loss=7.126661, Validation Loss=7.219665, Time Elapsed=00:12
Iter=36, Training Loss=7.229474, Validation Loss=7.219665, Time Elapsed=00:12
Iter=37, Training Loss=7.251921, Validation Loss=7.219665, Time Elapsed=00:13
Iter=38, Training Loss=7.207925, Validation Loss=7.219665, Time Elapsed=00:13
Iter=39, Training Loss=7.195906, Validation Loss=7.219665, Time Elapsed=00:13
Iter=40, Training Loss=7.137495, Validation Loss=7.219665, Time Elapsed=00:13
Iter=41, Training Loss=7.146581, Validation Loss=7.141735, Time Elapsed=00:14
Iter=42, Training Loss=7.126765, Validation Loss=7.141735, Time Elapsed=00:14
Iter=43, Training Loss=7.173728, Validation Loss=7.141735, Time Elapsed=00:15
Iter=44, Training Loss=7.089421, Validation Loss=7.141735, Time Elapsed=00:15
Iter=45, Training Loss=7.155215, Validation Loss=7.141735, Time Elapsed=00:15
Iter=46, Training Loss=7.146753, Validation Loss=7.141735, Time Elapsed=00:15
Iter=47, Training Loss=7.250059, Validation Loss=7.141735, Time Elapsed=00:16
Iter=48, Training Loss=7.137372, Validation Loss=7.141735, Time Elapsed=00:16
Iter=49, Training Loss=7.080405, Validation Loss=7.141735, Time Elapsed=00:16
Iter=50, Training Loss=7.214183, Validation Loss=7.141735, Time Elapsed=00:16
Iter=51, Training Loss=7.112771, Validation Loss=7.034606, Time Elapsed=00:17
Iter=52, Training Loss=6.750464, Validation Loss=7.034606, Time Elapsed=00:17
Iter=53, Training Loss=7.115324, Validation Loss=7.034606, Time Elapsed=00:18
Iter=54, Training Loss=6.982690, Validation Loss=7.034606, Time Elapsed=00:18
Iter=55, Training Loss=6.954513, Validation Loss=7.034606, Time Elapsed=00:18
Iter=56, Training Loss=6.991313, Validation Loss=7.034606, Time Elapsed=00:18
Iter=57, Training Loss=6.774136, Validation Loss=7.034606, Time Elapsed=00:19
Iter=58, Training Loss=6.787991, Validation Loss=7.034606, Time Elapsed=00:19
Iter=59, Training Loss=7.000741, Validation Loss=7.034606, Time Elapsed=00:19
Iter=60, Training Loss=6.779388, Validation Loss=7.034606, Time Elapsed=00:19
Iter=61, Training Loss=6.783164, Validation Loss=6.809865, Time Elapsed=00:20
Iter=62, Training Loss=6.909973, Validation Loss=6.809865, Time Elapsed=00:21
Iter=63, Training Loss=6.883821, Validation Loss=6.809865, Time Elapsed=00:21
Iter=64, Training Loss=6.958953, Validation Loss=6.809865, Time Elapsed=00:21
Iter=65, Training Loss=7.045838, Validation Loss=6.809865, Time Elapsed=00:21
Iter=66, Training Loss=7.058732, Validation Loss=6.809865, Time Elapsed=00:22
Iter=67, Training Loss=6.817932, Validation Loss=6.809865, Time Elapsed=00:22
Iter=68, Training Loss=6.835582, Validation Loss=6.809865, Time Elapsed=00:22
Iter=69, Training Loss=6.914599, Validation Loss=6.809865, Time Elapsed=00:22
Iter=70, Training Loss=6.618311, Validation Loss=6.809865, Time Elapsed=00:23
Iter=71, Training Loss=6.660449, Validation Loss=6.690519, Time Elapsed=00:23
Iter=72, Training Loss=6.783493, Validation Loss=6.690519, Time Elapsed=00:24
Iter=73, Training Loss=6.840330, Validation Loss=6.690519, Time Elapsed=00:24
Iter=74, Training Loss=6.852413, Validation Loss=6.690519, Time Elapsed=00:24
Iter=75, Training Loss=6.460959, Validation Loss=6.690519, Time Elapsed=00:24
Iter=76, Training Loss=6.590886, Validation Loss=6.690519, Time Elapsed=00:25
Iter=77, Training Loss=6.515296, Validation Loss=6.690519, Time Elapsed=00:25
Iter=78, Training Loss=6.662210, Validation Loss=6.690519, Time Elapsed=00:25
Iter=79, Training Loss=6.751057, Validation Loss=6.690519, Time Elapsed=00:25
Iter=80, Training Loss=6.704365, Validation Loss=6.690519, Time Elapsed=00:26
Iter=81, Training Loss=6.576526, Validation Loss=6.713653, Time Elapsed=00:26
Iter=82, Training Loss=6.702817, Validation Loss=6.713653, Time Elapsed=00:27
Iter=83, Training Loss=6.625767, Validation Loss=6.713653, Time Elapsed=00:27
Iter=84, Training Loss=6.592309, Validation Loss=6.713653, Time Elapsed=00:27
Iter=85, Training Loss=6.702828, Validation Loss=6.713653, Time Elapsed=00:27
Iter=86, Training Loss=6.767457, Validation Loss=6.713653, Time Elapsed=00:28
Iter=87, Training Loss=6.653493, Validation Loss=6.713653, Time Elapsed=00:28
Iter=88, Training Loss=6.621397, Validation Loss=6.713653, Time Elapsed=00:28
Iter=89, Training Loss=6.625711, Validation Loss=6.713653, Time Elapsed=00:29
Iter=90, Training Loss=6.513224, Validation Loss=6.713653, Time Elapsed=00:29
Iter=91, Training Loss=6.711610, Validation Loss=6.710330, Time Elapsed=00:30
Iter=92, Training Loss=6.430958, Validation Loss=6.710330, Time Elapsed=00:30
Iter=93, Training Loss=6.711038, Validation Loss=6.710330, Time Elapsed=00:30
Iter=94, Training Loss=6.608473, Validation Loss=6.710330, Time Elapsed=00:30
Iter=95, Training Loss=6.623795, Validation Loss=6.710330, Time Elapsed=00:31
Iter=96, Training Loss=6.692779, Validation Loss=6.710330, Time Elapsed=00:31
Iter=97, Training Loss=6.443979, Validation Loss=6.710330, Time Elapsed=00:31
Iter=98, Training Loss=6.634995, Validation Loss=6.710330, Time Elapsed=00:32
Iter=99, Training Loss=6.478571, Validation Loss=6.710330, Time Elapsed=00:32
Iter=100, Training Loss=6.730495, Validation Loss=6.710330, Time Elapsed=00:32
Iter=101, Training Loss=6.657192, Validation Loss=6.633003, Time Elapsed=00:33
Iter=102, Training Loss=6.610012, Validation Loss=6.633003, Time Elapsed=00:33
Iter=103, Training Loss=6.382324, Validation Loss=6.633003, Time Elapsed=00:33
Iter=104, Training Loss=6.841461, Validation Loss=6.633003, Time Elapsed=00:34
Iter=105, Training Loss=6.544295, Validation Loss=6.633003, Time Elapsed=00:34
Iter=106, Training Loss=6.647604, Validation Loss=6.633003, Time Elapsed=00:34
Iter=107, Training Loss=6.610065, Validation Loss=6.633003, Time Elapsed=00:34
Iter=108, Training Loss=6.447599, Validation Loss=6.633003, Time Elapsed=00:35
Iter=109, Training Loss=6.426165, Validation Loss=6.633003, Time Elapsed=00:35
Iter=110, Training Loss=6.500111, Validation Loss=6.633003, Time Elapsed=00:35
Iter=111, Training Loss=6.563732, Validation Loss=6.659294, Time Elapsed=00:36
Iter=112, Training Loss=6.509351, Validation Loss=6.659294, Time Elapsed=00:36
Iter=113, Training Loss=6.520617, Validation Loss=6.659294, Time Elapsed=00:36
Iter=114, Training Loss=6.630042, Validation Loss=6.659294, Time Elapsed=00:37
Iter=115, Training Loss=6.442407, Validation Loss=6.659294, Time Elapsed=00:37
Iter=116, Training Loss=6.497765, Validation Loss=6.659294, Time Elapsed=00:37
Iter=117, Training Loss=6.827347, Validation Loss=6.659294, Time Elapsed=00:37
Iter=118, Training Loss=6.659026, Validation Loss=6.659294, Time Elapsed=00:38
Iter=119, Training Loss=6.588311, Validation Loss=6.659294, Time Elapsed=00:38
Iter=120, Training Loss=6.466377, Validation Loss=6.659294, Time Elapsed=00:38
Iter=121, Training Loss=6.582037, Validation Loss=6.708088, Time Elapsed=00:39
Iter=122, Training Loss=6.497116, Validation Loss=6.708088, Time Elapsed=00:39
Iter=123, Training Loss=6.420364, Validation Loss=6.708088, Time Elapsed=00:39
Iter=124, Training Loss=6.555883, Validation Loss=6.708088, Time Elapsed=00:40
Iter=125, Training Loss=6.504010, Validation Loss=6.708088, Time Elapsed=00:40
Iter=126, Training Loss=6.377993, Validation Loss=6.708088, Time Elapsed=00:40
Iter=127, Training Loss=6.548231, Validation Loss=6.708088, Time Elapsed=00:40
Iter=128, Training Loss=6.651223, Validation Loss=6.708088, Time Elapsed=00:41
Iter=129, Training Loss=6.441965, Validation Loss=6.708088, Time Elapsed=00:41
Iter=130, Training Loss=6.483487, Validation Loss=6.708088, Time Elapsed=00:41
Iter=131, Training Loss=6.355151, Validation Loss=6.600276, Time Elapsed=00:42
Iter=132, Training Loss=6.467597, Validation Loss=6.600276, Time Elapsed=00:42
Iter=133, Training Loss=6.349195, Validation Loss=6.600276, Time Elapsed=00:43
Iter=134, Training Loss=6.630911, Validation Loss=6.600276, Time Elapsed=00:43
Iter=135, Training Loss=6.483891, Validation Loss=6.600276, Time Elapsed=00:43
Iter=136, Training Loss=6.600563, Validation Loss=6.600276, Time Elapsed=00:43
Iter=137, Training Loss=6.735452, Validation Loss=6.600276, Time Elapsed=00:43
Iter=138, Training Loss=6.248343, Validation Loss=6.600276, Time Elapsed=00:44
Iter=139, Training Loss=6.509633, Validation Loss=6.600276, Time Elapsed=00:44
Iter=140, Training Loss=6.515836, Validation Loss=6.600276, Time Elapsed=00:44
Iter=141, Training Loss=6.201353, Validation Loss=6.484056, Time Elapsed=00:45
Iter=142, Training Loss=6.596630, Validation Loss=6.484056, Time Elapsed=00:45
Iter=143, Training Loss=6.303398, Validation Loss=6.484056, Time Elapsed=00:45
Iter=144, Training Loss=6.590702, Validation Loss=6.484056, Time Elapsed=00:46
Iter=145, Training Loss=6.307055, Validation Loss=6.484056, Time Elapsed=00:46
Iter=146, Training Loss=6.364697, Validation Loss=6.484056, Time Elapsed=00:46
Iter=147, Training Loss=6.685455, Validation Loss=6.484056, Time Elapsed=00:46
Iter=148, Training Loss=6.365924, Validation Loss=6.484056, Time Elapsed=00:47
Iter=149, Training Loss=6.762140, Validation Loss=6.484056, Time Elapsed=00:47
Iter=150, Training Loss=6.151035, Validation Loss=6.484056, Time Elapsed=00:47
Iter=151, Training Loss=6.545236, Validation Loss=6.503458, Time Elapsed=00:48
Iter=152, Training Loss=6.495221, Validation Loss=6.503458, Time Elapsed=00:48
Iter=153, Training Loss=6.208419, Validation Loss=6.503458, Time Elapsed=00:48
Iter=154, Training Loss=6.523093, Validation Loss=6.503458, Time Elapsed=00:49
Iter=155, Training Loss=6.357936, Validation Loss=6.503458, Time Elapsed=00:49
Iter=156, Training Loss=6.134258, Validation Loss=6.503458, Time Elapsed=00:49
Iter=157, Training Loss=6.522765, Validation Loss=6.503458, Time Elapsed=00:49
Iter=158, Training Loss=5.915692, Validation Loss=6.503458, Time Elapsed=00:50
Iter=159, Training Loss=6.284379, Validation Loss=6.503458, Time Elapsed=00:50
Iter=160, Training Loss=6.283502, Validation Loss=6.503458, Time Elapsed=00:50
Iter=161, Training Loss=6.452039, Validation Loss=6.399160, Time Elapsed=00:51
Iter=162, Training Loss=6.363238, Validation Loss=6.399160, Time Elapsed=00:51
Iter=163, Training Loss=6.125951, Validation Loss=6.399160, Time Elapsed=00:51
Iter=164, Training Loss=5.918043, Validation Loss=6.399160, Time Elapsed=00:51
Iter=165, Training Loss=6.168750, Validation Loss=6.399160, Time Elapsed=00:52
Iter=166, Training Loss=6.164343, Validation Loss=6.399160, Time Elapsed=00:52
Iter=167, Training Loss=6.155865, Validation Loss=6.399160, Time Elapsed=00:52
Iter=168, Training Loss=6.154299, Validation Loss=6.399160, Time Elapsed=00:52
Iter=169, Training Loss=6.429542, Validation Loss=6.399160, Time Elapsed=00:53
Iter=170, Training Loss=6.190504, Validation Loss=6.399160, Time Elapsed=00:53
Iter=171, Training Loss=6.167485, Validation Loss=6.380820, Time Elapsed=00:54
Iter=172, Training Loss=6.157008, Validation Loss=6.380820, Time Elapsed=00:54
Iter=173, Training Loss=6.048528, Validation Loss=6.380820, Time Elapsed=00:54
Iter=174, Training Loss=6.705660, Validation Loss=6.380820, Time Elapsed=00:54
Iter=175, Training Loss=6.163443, Validation Loss=6.380820, Time Elapsed=00:55
Iter=176, Training Loss=6.346061, Validation Loss=6.380820, Time Elapsed=00:55
Iter=177, Training Loss=6.403242, Validation Loss=6.380820, Time Elapsed=00:55
Iter=178, Training Loss=6.298927, Validation Loss=6.380820, Time Elapsed=00:55
Iter=179, Training Loss=6.220285, Validation Loss=6.380820, Time Elapsed=00:56
Iter=180, Training Loss=6.160803, Validation Loss=6.380820, Time Elapsed=00:56
Iter=181, Training Loss=6.195746, Validation Loss=6.222950, Time Elapsed=00:57
Iter=182, Training Loss=6.340863, Validation Loss=6.222950, Time Elapsed=00:57
Iter=183, Training Loss=6.126489, Validation Loss=6.222950, Time Elapsed=00:57
Iter=184, Training Loss=6.020205, Validation Loss=6.222950, Time Elapsed=00:57
Iter=185, Training Loss=5.953509, Validation Loss=6.222950, Time Elapsed=00:58
Iter=186, Training Loss=6.314163, Validation Loss=6.222950, Time Elapsed=00:58
Iter=187, Training Loss=6.003238, Validation Loss=6.222950, Time Elapsed=00:58
Iter=188, Training Loss=5.987758, Validation Loss=6.222950, Time Elapsed=00:58
Iter=189, Training Loss=6.114882, Validation Loss=6.222950, Time Elapsed=00:59
Iter=190, Training Loss=6.190849, Validation Loss=6.222950, Time Elapsed=00:59
Iter=191, Training Loss=6.188928, Validation Loss=6.249780, Time Elapsed=01:00
Iter=192, Training Loss=6.055613, Validation Loss=6.249780, Time Elapsed=01:00
Iter=193, Training Loss=5.976907, Validation Loss=6.249780, Time Elapsed=01:00
Iter=194, Training Loss=5.982427, Validation Loss=6.249780, Time Elapsed=01:01
Iter=195, Training Loss=5.955695, Validation Loss=6.249780, Time Elapsed=01:01
Iter=196, Training Loss=5.833675, Validation Loss=6.249780, Time Elapsed=01:01
Iter=197, Training Loss=6.093684, Validation Loss=6.249780, Time Elapsed=01:01
Iter=198, Training Loss=6.078784, Validation Loss=6.249780, Time Elapsed=01:02
Iter=199, Training Loss=5.828526, Validation Loss=6.249780, Time Elapsed=01:02
Iter=200, Training Loss=6.097372, Validation Loss=6.249780, Time Elapsed=01:02
Iter=201, Training Loss=5.898485, Validation Loss=6.062840, Time Elapsed=01:03
Iter=202, Training Loss=6.358208, Validation Loss=6.062840, Time Elapsed=01:03
Iter=203, Training Loss=5.812517, Validation Loss=6.062840, Time Elapsed=01:04
Iter=204, Training Loss=6.059822, Validation Loss=6.062840, Time Elapsed=01:04
Iter=205, Training Loss=6.039717, Validation Loss=6.062840, Time Elapsed=01:04
Iter=206, Training Loss=6.068889, Validation Loss=6.062840, Time Elapsed=01:05
Iter=207, Training Loss=5.740859, Validation Loss=6.062840, Time Elapsed=01:05
Iter=208, Training Loss=6.176217, Validation Loss=6.062840, Time Elapsed=01:05
Iter=209, Training Loss=6.189133, Validation Loss=6.062840, Time Elapsed=01:05
Iter=210, Training Loss=5.791853, Validation Loss=6.062840, Time Elapsed=01:06
Iter=211, Training Loss=5.733704, Validation Loss=5.994427, Time Elapsed=01:07
Iter=212, Training Loss=5.802179, Validation Loss=5.994427, Time Elapsed=01:07
Iter=213, Training Loss=5.854309, Validation Loss=5.994427, Time Elapsed=01:07
Iter=214, Training Loss=5.840389, Validation Loss=5.994427, Time Elapsed=01:08
Iter=215, Training Loss=5.858301, Validation Loss=5.994427, Time Elapsed=01:08
Iter=216, Training Loss=5.546735, Validation Loss=5.994427, Time Elapsed=01:08
Iter=217, Training Loss=5.868301, Validation Loss=5.994427, Time Elapsed=01:09
Iter=218, Training Loss=5.912436, Validation Loss=5.994427, Time Elapsed=01:09
Iter=219, Training Loss=5.663183, Validation Loss=5.994427, Time Elapsed=01:09
Iter=220, Training Loss=5.847587, Validation Loss=5.994427, Time Elapsed=01:10
Iter=221, Training Loss=5.957633, Validation Loss=5.913278, Time Elapsed=01:10
Iter=222, Training Loss=5.636250, Validation Loss=5.913278, Time Elapsed=01:11
Iter=223, Training Loss=6.073154, Validation Loss=5.913278, Time Elapsed=01:11
Iter=224, Training Loss=5.970341, Validation Loss=5.913278, Time Elapsed=01:11
Iter=225, Training Loss=5.905619, Validation Loss=5.913278, Time Elapsed=01:12
Iter=226, Training Loss=5.804424, Validation Loss=5.913278, Time Elapsed=01:12
Iter=227, Training Loss=5.643703, Validation Loss=5.913278, Time Elapsed=01:12
Iter=228, Training Loss=5.621035, Validation Loss=5.913278, Time Elapsed=01:12
Iter=229, Training Loss=5.541957, Validation Loss=5.913278, Time Elapsed=01:13
Iter=230, Training Loss=5.935335, Validation Loss=5.913278, Time Elapsed=01:13
Iter=231, Training Loss=5.585762, Validation Loss=5.770310, Time Elapsed=01:14
Iter=232, Training Loss=6.048985, Validation Loss=5.770310, Time Elapsed=01:14
Iter=233, Training Loss=6.058398, Validation Loss=5.770310, Time Elapsed=01:15
Iter=234, Training Loss=5.612621, Validation Loss=5.770310, Time Elapsed=01:15
Iter=235, Training Loss=5.445086, Validation Loss=5.770310, Time Elapsed=01:16
Iter=236, Training Loss=5.868544, Validation Loss=5.770310, Time Elapsed=01:16
Iter=237, Training Loss=5.436708, Validation Loss=5.770310, Time Elapsed=01:16
Iter=238, Training Loss=5.541412, Validation Loss=5.770310, Time Elapsed=01:17
Iter=239, Training Loss=5.614908, Validation Loss=5.770310, Time Elapsed=01:17
Iter=240, Training Loss=5.879281, Validation Loss=5.770310, Time Elapsed=01:17
Iter=241, Training Loss=5.493304, Validation Loss=5.761446, Time Elapsed=01:18
Iter=242, Training Loss=5.553221, Validation Loss=5.761446, Time Elapsed=01:19
Iter=243, Training Loss=5.571503, Validation Loss=5.761446, Time Elapsed=01:19
Iter=244, Training Loss=5.772150, Validation Loss=5.761446, Time Elapsed=01:19
Iter=245, Training Loss=5.734250, Validation Loss=5.761446, Time Elapsed=01:20
Iter=246, Training Loss=5.650691, Validation Loss=5.761446, Time Elapsed=01:20
Iter=247, Training Loss=5.623230, Validation Loss=5.761446, Time Elapsed=01:20
Iter=248, Training Loss=5.354583, Validation Loss=5.761446, Time Elapsed=01:20
Iter=249, Training Loss=5.725282, Validation Loss=5.761446, Time Elapsed=01:21
Iter=250, Training Loss=5.300731, Validation Loss=5.761446, Time Elapsed=01:21
Iter=251, Training Loss=5.307168, Validation Loss=5.838692, Time Elapsed=01:22
Iter=252, Training Loss=5.643863, Validation Loss=5.838692, Time Elapsed=01:22
Iter=253, Training Loss=5.195942, Validation Loss=5.838692, Time Elapsed=01:23
Iter=254, Training Loss=5.859661, Validation Loss=5.838692, Time Elapsed=01:23
Iter=255, Training Loss=5.306833, Validation Loss=5.838692, Time Elapsed=01:23
Iter=256, Training Loss=5.659295, Validation Loss=5.838692, Time Elapsed=01:23
Iter=257, Training Loss=5.541696, Validation Loss=5.838692, Time Elapsed=01:24
Iter=258, Training Loss=5.626077, Validation Loss=5.838692, Time Elapsed=01:24
Iter=259, Training Loss=5.486769, Validation Loss=5.838692, Time Elapsed=01:24
Iter=260, Training Loss=5.408578, Validation Loss=5.838692, Time Elapsed=01:25
Iter=261, Training Loss=5.343176, Validation Loss=5.605410, Time Elapsed=01:26
Iter=262, Training Loss=5.386276, Validation Loss=5.605410, Time Elapsed=01:26
Iter=263, Training Loss=5.604516, Validation Loss=5.605410, Time Elapsed=01:26
Iter=264, Training Loss=4.926852, Validation Loss=5.605410, Time Elapsed=01:27
Iter=265, Training Loss=5.506971, Validation Loss=5.605410, Time Elapsed=01:27
Iter=266, Training Loss=5.427941, Validation Loss=5.605410, Time Elapsed=01:27
Iter=267, Training Loss=5.570228, Validation Loss=5.605410, Time Elapsed=01:27
Iter=268, Training Loss=5.095058, Validation Loss=5.605410, Time Elapsed=01:28
Iter=269, Training Loss=5.575261, Validation Loss=5.605410, Time Elapsed=01:28
Iter=270, Training Loss=5.247048, Validation Loss=5.605410, Time Elapsed=01:28
Iter=271, Training Loss=5.298666, Validation Loss=5.514525, Time Elapsed=01:29
Iter=272, Training Loss=5.287116, Validation Loss=5.514525, Time Elapsed=01:30
Iter=273, Training Loss=5.460021, Validation Loss=5.514525, Time Elapsed=01:30
Iter=274, Training Loss=5.647542, Validation Loss=5.514525, Time Elapsed=01:30
Iter=275, Training Loss=5.322207, Validation Loss=5.514525, Time Elapsed=01:31
Iter=276, Training Loss=5.414845, Validation Loss=5.514525, Time Elapsed=01:31
Iter=277, Training Loss=5.370913, Validation Loss=5.514525, Time Elapsed=01:31
Iter=278, Training Loss=4.803877, Validation Loss=5.514525, Time Elapsed=01:31
Iter=279, Training Loss=5.650283, Validation Loss=5.514525, Time Elapsed=01:32
Iter=280, Training Loss=5.541120, Validation Loss=5.514525, Time Elapsed=01:32
Iter=281, Training Loss=5.401405, Validation Loss=5.343047, Time Elapsed=01:33
Iter=282, Training Loss=5.094923, Validation Loss=5.343047, Time Elapsed=01:33
Iter=283, Training Loss=5.238026, Validation Loss=5.343047, Time Elapsed=01:34
Iter=284, Training Loss=5.513140, Validation Loss=5.343047, Time Elapsed=01:34
Iter=285, Training Loss=5.612265, Validation Loss=5.343047, Time Elapsed=01:34
Iter=286, Training Loss=5.412090, Validation Loss=5.343047, Time Elapsed=01:35
Iter=287, Training Loss=5.393642, Validation Loss=5.343047, Time Elapsed=01:35
Iter=288, Training Loss=5.138853, Validation Loss=5.343047, Time Elapsed=01:35
Iter=289, Training Loss=5.357080, Validation Loss=5.343047, Time Elapsed=01:36
Iter=290, Training Loss=5.659760, Validation Loss=5.343047, Time Elapsed=01:36
Iter=291, Training Loss=5.183603, Validation Loss=5.414965, Time Elapsed=01:37
Iter=292, Training Loss=5.131050, Validation Loss=5.414965, Time Elapsed=01:37
Iter=293, Training Loss=4.967060, Validation Loss=5.414965, Time Elapsed=01:38
Iter=294, Training Loss=5.300528, Validation Loss=5.414965, Time Elapsed=01:38
Iter=295, Training Loss=5.386640, Validation Loss=5.414965, Time Elapsed=01:38
Iter=296, Training Loss=5.348580, Validation Loss=5.414965, Time Elapsed=01:39
Iter=297, Training Loss=5.387004, Validation Loss=5.414965, Time Elapsed=01:39
Iter=298, Training Loss=5.626432, Validation Loss=5.414965, Time Elapsed=01:39
Iter=299, Training Loss=5.019042, Validation Loss=5.414965, Time Elapsed=01:40
Iter=300, Training Loss=4.963852, Validation Loss=5.414965, Time Elapsed=01:40
