Training loss=1.898050
Validation loss=3.083776
Min Validation loss=3.108784
Iteration of min validation loss=2040

Iterations trained=2421
Duration=36:02

Number of training examples=225
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=200

Iter=1, Training Loss=7.304812, Validation Loss=7.288544, Time Elapsed=00:03
Iter=2, Training Loss=7.204692, Validation Loss=7.288544, Time Elapsed=00:03
Iter=3, Training Loss=7.126774, Validation Loss=7.288544, Time Elapsed=00:04
Iter=4, Training Loss=7.219896, Validation Loss=7.288544, Time Elapsed=00:04
Iter=5, Training Loss=7.060880, Validation Loss=7.288544, Time Elapsed=00:05
Iter=6, Training Loss=7.234476, Validation Loss=7.288544, Time Elapsed=00:05
Iter=7, Training Loss=7.304262, Validation Loss=7.288544, Time Elapsed=00:06
Iter=8, Training Loss=7.212750, Validation Loss=7.288544, Time Elapsed=00:07
Iter=9, Training Loss=7.258482, Validation Loss=7.288544, Time Elapsed=00:07
Iter=10, Training Loss=7.318187, Validation Loss=7.288544, Time Elapsed=00:08
Iter=11, Training Loss=7.270728, Validation Loss=7.193864, Time Elapsed=00:09
Iter=12, Training Loss=7.205627, Validation Loss=7.193864, Time Elapsed=00:10
Iter=13, Training Loss=7.329527, Validation Loss=7.193864, Time Elapsed=00:10
Iter=14, Training Loss=7.295746, Validation Loss=7.193864, Time Elapsed=00:11
Iter=15, Training Loss=7.083391, Validation Loss=7.193864, Time Elapsed=00:11
Iter=16, Training Loss=7.036593, Validation Loss=7.193864, Time Elapsed=00:12
Iter=17, Training Loss=7.103729, Validation Loss=7.193864, Time Elapsed=00:13
Iter=18, Training Loss=7.065419, Validation Loss=7.193864, Time Elapsed=00:13
Iter=19, Training Loss=7.064970, Validation Loss=7.193864, Time Elapsed=00:14
Iter=20, Training Loss=7.313948, Validation Loss=7.193864, Time Elapsed=00:15
Iter=21, Training Loss=7.151938, Validation Loss=7.144641, Time Elapsed=00:17
Iter=22, Training Loss=7.060199, Validation Loss=7.144641, Time Elapsed=00:17
Iter=23, Training Loss=7.006474, Validation Loss=7.144641, Time Elapsed=00:18
Iter=24, Training Loss=6.845469, Validation Loss=7.144641, Time Elapsed=00:19
Iter=25, Training Loss=7.074004, Validation Loss=7.144641, Time Elapsed=00:19
Iter=26, Training Loss=6.975479, Validation Loss=7.144641, Time Elapsed=00:20
Iter=27, Training Loss=6.943573, Validation Loss=7.144641, Time Elapsed=00:20
Iter=28, Training Loss=7.035476, Validation Loss=7.144641, Time Elapsed=00:21
Iter=29, Training Loss=7.215410, Validation Loss=7.144641, Time Elapsed=00:22
Iter=30, Training Loss=6.797702, Validation Loss=7.144641, Time Elapsed=00:22
Iter=31, Training Loss=6.849610, Validation Loss=6.981267, Time Elapsed=00:24
Iter=32, Training Loss=7.080662, Validation Loss=6.981267, Time Elapsed=00:25
Iter=33, Training Loss=6.884336, Validation Loss=6.981267, Time Elapsed=00:26
Iter=34, Training Loss=7.022882, Validation Loss=6.981267, Time Elapsed=00:27
Iter=35, Training Loss=6.969077, Validation Loss=6.981267, Time Elapsed=00:27
Iter=36, Training Loss=6.954759, Validation Loss=6.981267, Time Elapsed=00:28
Iter=37, Training Loss=6.799039, Validation Loss=6.981267, Time Elapsed=00:29
Iter=38, Training Loss=6.954451, Validation Loss=6.981267, Time Elapsed=00:29
Iter=39, Training Loss=6.730830, Validation Loss=6.981267, Time Elapsed=00:30
Iter=40, Training Loss=6.752280, Validation Loss=6.981267, Time Elapsed=00:31
Iter=41, Training Loss=6.815776, Validation Loss=6.729230, Time Elapsed=00:33
Iter=42, Training Loss=6.849302, Validation Loss=6.729230, Time Elapsed=00:33
Iter=43, Training Loss=6.850202, Validation Loss=6.729230, Time Elapsed=00:34
Iter=44, Training Loss=6.687974, Validation Loss=6.729230, Time Elapsed=00:35
Iter=45, Training Loss=6.560621, Validation Loss=6.729230, Time Elapsed=00:35
Iter=46, Training Loss=6.686819, Validation Loss=6.729230, Time Elapsed=00:36
Iter=47, Training Loss=6.751916, Validation Loss=6.729230, Time Elapsed=00:37
Iter=48, Training Loss=6.740007, Validation Loss=6.729230, Time Elapsed=00:37
Iter=49, Training Loss=6.649222, Validation Loss=6.729230, Time Elapsed=00:38
Iter=50, Training Loss=6.523900, Validation Loss=6.729230, Time Elapsed=00:39
Iter=51, Training Loss=6.797570, Validation Loss=6.714879, Time Elapsed=00:40
Iter=52, Training Loss=6.716918, Validation Loss=6.714879, Time Elapsed=00:41
Iter=53, Training Loss=6.523110, Validation Loss=6.714879, Time Elapsed=00:42
Iter=54, Training Loss=6.652319, Validation Loss=6.714879, Time Elapsed=00:43
Iter=55, Training Loss=6.475481, Validation Loss=6.714879, Time Elapsed=00:44
Iter=56, Training Loss=6.781233, Validation Loss=6.714879, Time Elapsed=00:45
Iter=57, Training Loss=6.718511, Validation Loss=6.714879, Time Elapsed=00:46
Iter=58, Training Loss=6.597345, Validation Loss=6.714879, Time Elapsed=00:47
Iter=59, Training Loss=6.760049, Validation Loss=6.714879, Time Elapsed=00:48
Iter=60, Training Loss=6.707639, Validation Loss=6.714879, Time Elapsed=00:49
Iter=61, Training Loss=6.724788, Validation Loss=6.688842, Time Elapsed=00:51
Iter=62, Training Loss=6.769922, Validation Loss=6.688842, Time Elapsed=00:52
Iter=63, Training Loss=6.554552, Validation Loss=6.688842, Time Elapsed=00:53
Iter=64, Training Loss=6.738165, Validation Loss=6.688842, Time Elapsed=00:53
Iter=65, Training Loss=6.421675, Validation Loss=6.688842, Time Elapsed=00:54
Iter=66, Training Loss=6.725214, Validation Loss=6.688842, Time Elapsed=00:54
Iter=67, Training Loss=6.655655, Validation Loss=6.688842, Time Elapsed=00:55
Iter=68, Training Loss=6.597648, Validation Loss=6.688842, Time Elapsed=00:56
Iter=69, Training Loss=6.640935, Validation Loss=6.688842, Time Elapsed=00:56
Iter=70, Training Loss=6.549757, Validation Loss=6.688842, Time Elapsed=00:57
Iter=71, Training Loss=6.563732, Validation Loss=6.521411, Time Elapsed=00:59
Iter=72, Training Loss=6.548030, Validation Loss=6.521411, Time Elapsed=01:00
Iter=73, Training Loss=6.468648, Validation Loss=6.521411, Time Elapsed=01:01
Iter=74, Training Loss=6.681227, Validation Loss=6.521411, Time Elapsed=01:01
Iter=75, Training Loss=6.511218, Validation Loss=6.521411, Time Elapsed=01:02
Iter=76, Training Loss=6.651496, Validation Loss=6.521411, Time Elapsed=01:03
Iter=77, Training Loss=6.482232, Validation Loss=6.521411, Time Elapsed=01:03
Iter=78, Training Loss=6.459064, Validation Loss=6.521411, Time Elapsed=01:04
Iter=79, Training Loss=6.588503, Validation Loss=6.521411, Time Elapsed=01:05
Iter=80, Training Loss=6.611045, Validation Loss=6.521411, Time Elapsed=01:05
Iter=81, Training Loss=6.602473, Validation Loss=6.584540, Time Elapsed=01:07
Iter=82, Training Loss=6.598943, Validation Loss=6.584540, Time Elapsed=01:08
Iter=83, Training Loss=6.628632, Validation Loss=6.584540, Time Elapsed=01:09
Iter=84, Training Loss=6.388278, Validation Loss=6.584540, Time Elapsed=01:10
Iter=85, Training Loss=6.547544, Validation Loss=6.584540, Time Elapsed=01:11
Iter=86, Training Loss=6.612931, Validation Loss=6.584540, Time Elapsed=01:11
Iter=87, Training Loss=6.495237, Validation Loss=6.584540, Time Elapsed=01:12
Iter=88, Training Loss=6.695934, Validation Loss=6.584540, Time Elapsed=01:13
Iter=89, Training Loss=6.491617, Validation Loss=6.584540, Time Elapsed=01:13
Iter=90, Training Loss=6.679195, Validation Loss=6.584540, Time Elapsed=01:14
Iter=91, Training Loss=6.450298, Validation Loss=6.479534, Time Elapsed=01:15
Iter=92, Training Loss=6.535614, Validation Loss=6.479534, Time Elapsed=01:16
Iter=93, Training Loss=6.365607, Validation Loss=6.479534, Time Elapsed=01:17
Iter=94, Training Loss=6.610968, Validation Loss=6.479534, Time Elapsed=01:17
Iter=95, Training Loss=6.647422, Validation Loss=6.479534, Time Elapsed=01:18
Iter=96, Training Loss=6.404619, Validation Loss=6.479534, Time Elapsed=01:19
Iter=97, Training Loss=6.395713, Validation Loss=6.479534, Time Elapsed=01:20
Iter=98, Training Loss=6.109381, Validation Loss=6.479534, Time Elapsed=01:21
Iter=99, Training Loss=6.566374, Validation Loss=6.479534, Time Elapsed=01:22
Iter=100, Training Loss=6.454910, Validation Loss=6.479534, Time Elapsed=01:23
Iter=101, Training Loss=6.287053, Validation Loss=6.382634, Time Elapsed=01:24
Iter=102, Training Loss=6.523065, Validation Loss=6.382634, Time Elapsed=01:25
Iter=103, Training Loss=6.408108, Validation Loss=6.382634, Time Elapsed=01:26
Iter=104, Training Loss=6.277716, Validation Loss=6.382634, Time Elapsed=01:26
Iter=105, Training Loss=6.432411, Validation Loss=6.382634, Time Elapsed=01:27
Iter=106, Training Loss=6.554756, Validation Loss=6.382634, Time Elapsed=01:28
Iter=107, Training Loss=6.368844, Validation Loss=6.382634, Time Elapsed=01:28
Iter=108, Training Loss=6.176620, Validation Loss=6.382634, Time Elapsed=01:29
Iter=109, Training Loss=6.489933, Validation Loss=6.382634, Time Elapsed=01:30
Iter=110, Training Loss=6.250530, Validation Loss=6.382634, Time Elapsed=01:31
Iter=111, Training Loss=6.425650, Validation Loss=6.445944, Time Elapsed=01:32
Iter=112, Training Loss=6.261545, Validation Loss=6.445944, Time Elapsed=01:33
Iter=113, Training Loss=6.362226, Validation Loss=6.445944, Time Elapsed=01:34
Iter=114, Training Loss=6.415862, Validation Loss=6.445944, Time Elapsed=01:35
Iter=115, Training Loss=6.233616, Validation Loss=6.445944, Time Elapsed=01:36
Iter=116, Training Loss=6.286360, Validation Loss=6.445944, Time Elapsed=01:37
Iter=117, Training Loss=6.443179, Validation Loss=6.445944, Time Elapsed=01:37
Iter=118, Training Loss=6.283296, Validation Loss=6.445944, Time Elapsed=01:38
Iter=119, Training Loss=6.420503, Validation Loss=6.445944, Time Elapsed=01:39
Iter=120, Training Loss=6.338444, Validation Loss=6.445944, Time Elapsed=01:39
Iter=121, Training Loss=6.552529, Validation Loss=6.530180, Time Elapsed=01:41
Iter=122, Training Loss=6.295842, Validation Loss=6.530180, Time Elapsed=01:42
Iter=123, Training Loss=6.569333, Validation Loss=6.530180, Time Elapsed=01:43
Iter=124, Training Loss=6.319879, Validation Loss=6.530180, Time Elapsed=01:43
Iter=125, Training Loss=6.193170, Validation Loss=6.530180, Time Elapsed=01:44
Iter=126, Training Loss=6.138920, Validation Loss=6.530180, Time Elapsed=01:45
Iter=127, Training Loss=6.442851, Validation Loss=6.530180, Time Elapsed=01:45
Iter=128, Training Loss=6.255355, Validation Loss=6.530180, Time Elapsed=01:46
Iter=129, Training Loss=6.325939, Validation Loss=6.530180, Time Elapsed=01:47
Iter=130, Training Loss=6.518788, Validation Loss=6.530180, Time Elapsed=01:48
Iter=131, Training Loss=6.201926, Validation Loss=6.278069, Time Elapsed=01:50
Iter=132, Training Loss=6.637471, Validation Loss=6.278069, Time Elapsed=01:51
Iter=133, Training Loss=6.171244, Validation Loss=6.278069, Time Elapsed=01:52
Iter=134, Training Loss=6.258530, Validation Loss=6.278069, Time Elapsed=01:52
Iter=135, Training Loss=6.433624, Validation Loss=6.278069, Time Elapsed=01:53
Iter=136, Training Loss=6.115762, Validation Loss=6.278069, Time Elapsed=01:54
Iter=137, Training Loss=6.526729, Validation Loss=6.278069, Time Elapsed=01:55
Iter=138, Training Loss=6.380208, Validation Loss=6.278069, Time Elapsed=01:56
Iter=139, Training Loss=6.325557, Validation Loss=6.278069, Time Elapsed=01:58
Iter=140, Training Loss=6.216067, Validation Loss=6.278069, Time Elapsed=01:59
Iter=141, Training Loss=6.322592, Validation Loss=6.338259, Time Elapsed=02:02
Iter=142, Training Loss=6.344250, Validation Loss=6.338259, Time Elapsed=02:03
Iter=143, Training Loss=6.115351, Validation Loss=6.338259, Time Elapsed=02:04
Iter=144, Training Loss=6.272355, Validation Loss=6.338259, Time Elapsed=02:05
Iter=145, Training Loss=6.274968, Validation Loss=6.338259, Time Elapsed=02:06
Iter=146, Training Loss=6.164176, Validation Loss=6.338259, Time Elapsed=02:07
Iter=147, Training Loss=6.463728, Validation Loss=6.338259, Time Elapsed=02:08
Iter=148, Training Loss=6.072290, Validation Loss=6.338259, Time Elapsed=02:09
Iter=149, Training Loss=6.459142, Validation Loss=6.338259, Time Elapsed=02:11
Iter=150, Training Loss=6.196764, Validation Loss=6.338259, Time Elapsed=02:12
Iter=151, Training Loss=6.325840, Validation Loss=6.335831, Time Elapsed=02:15
Iter=152, Training Loss=6.275981, Validation Loss=6.335831, Time Elapsed=02:17
Iter=153, Training Loss=6.372013, Validation Loss=6.335831, Time Elapsed=02:19
Iter=154, Training Loss=6.116321, Validation Loss=6.335831, Time Elapsed=02:20
Iter=155, Training Loss=6.134068, Validation Loss=6.335831, Time Elapsed=02:20
Iter=156, Training Loss=6.045691, Validation Loss=6.335831, Time Elapsed=02:21
Iter=157, Training Loss=6.033506, Validation Loss=6.335831, Time Elapsed=02:22
Iter=158, Training Loss=6.134725, Validation Loss=6.335831, Time Elapsed=02:23
Iter=159, Training Loss=6.160710, Validation Loss=6.335831, Time Elapsed=02:24
Iter=160, Training Loss=6.109420, Validation Loss=6.335831, Time Elapsed=02:25
Iter=161, Training Loss=6.409654, Validation Loss=6.132494, Time Elapsed=02:27
Iter=162, Training Loss=5.930614, Validation Loss=6.132494, Time Elapsed=02:27
Iter=163, Training Loss=5.866855, Validation Loss=6.132494, Time Elapsed=02:28
Iter=164, Training Loss=6.009901, Validation Loss=6.132494, Time Elapsed=02:29
Iter=165, Training Loss=5.627993, Validation Loss=6.132494, Time Elapsed=02:30
Iter=166, Training Loss=5.963872, Validation Loss=6.132494, Time Elapsed=02:31
Iter=167, Training Loss=5.856689, Validation Loss=6.132494, Time Elapsed=02:31
Iter=168, Training Loss=5.966000, Validation Loss=6.132494, Time Elapsed=02:32
Iter=169, Training Loss=5.887836, Validation Loss=6.132494, Time Elapsed=02:33
Iter=170, Training Loss=6.118922, Validation Loss=6.132494, Time Elapsed=02:34
Iter=171, Training Loss=6.007495, Validation Loss=6.121888, Time Elapsed=02:36
Iter=172, Training Loss=5.673207, Validation Loss=6.121888, Time Elapsed=02:37
Iter=173, Training Loss=6.125598, Validation Loss=6.121888, Time Elapsed=02:37
Iter=174, Training Loss=5.940502, Validation Loss=6.121888, Time Elapsed=02:38
Iter=175, Training Loss=5.605134, Validation Loss=6.121888, Time Elapsed=02:39
Iter=176, Training Loss=5.747737, Validation Loss=6.121888, Time Elapsed=02:40
Iter=177, Training Loss=6.018618, Validation Loss=6.121888, Time Elapsed=02:41
Iter=178, Training Loss=6.032887, Validation Loss=6.121888, Time Elapsed=02:42
Iter=179, Training Loss=6.037467, Validation Loss=6.121888, Time Elapsed=02:43
